SOURCE: Google Drive — YMIR 1.0.3 - Summoning Skill Recap (draft).xlsx (fileId 0B51K1jhM2wrFMVd5QXVTQUxZN0U)

# Sheet1

|  | A | B | C | D | E | F | G |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| **1** |   |  |  |  |  |  |  |
| **2**  | Summoning Effects | Summoning Effects | Summoning Effects | Summoning Effects | Summoning Effects | Summoning Effects | Summoning Effects |
| **3** | Effect | Description | Entity | Entity | Entity | Entity | Notes |
| **4** | Effect | Description | Demon | Elemental | Spirit | Outsider | Notes |
| **5** | Evoke | One hour preparation, then roll, then the entity appears over the course of one round. | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 80 + 20/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 80 + 20/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 80 + 20/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 80 + 20/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Must deal with summoned entity by talking or by other means (e.g. a binding or control spell or item or circle). \> No malus to evoke a specific Demon which name is known, an Elemental, Spirit or Animal that is befriended |
| **6** | Contact | One hour preparation, then roll, then the caster can talk to the entity without physically move it | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 90 + 10/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 90 + 10/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 90 + 10/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 90 + 10/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Can only talk to contacted entity and can only get information from it. \> No price of servce required, cannot force anytyhing with spells, circles or binding. \> Just use Influence/Falsehood and contests as in a normal dialog. Higher Pale Entities are more difficult to deal with but know a lot more |
| **7** | Bind | One hour preparation, then roll, then the entity is bound to the object. | \> You bind the entity you summon to a ritually prepared objects. \> Preparing an object is part of the summoning ritual and costs 1sp/Pale of the demon in exotic materials. \> Once bound, the demon will remain within the object for 1 week, plus one/10 points of margin of success. \> A bound demon may be released at any time to serve you normally. | \> You bind the entity you summon to a ritually prepared objects. \> Preparing an object is part of the summoning ritual and costs 1sp/Pale of the demon in exotic materials. \> Once bound, the demon will remain within the object for 1 week, plus one/10 points of margin of success. \> A bound demon may be released at any time to serve you normally. | \> You bind the entity you summon to a ritually prepared objects. \> Preparing an object is part of the summoning ritual and costs 1sp/Pale of the demon in exotic materials. \> Once bound, the demon will remain within the object for 1 week, plus one/10 points of margin of success. \> A bound demon may be released at any time to serve you normally. | \> You bind the entity you summon to a ritually prepared objects. \> Preparing an object is part of the summoning ritual and costs 1sp/Pale of the demon in exotic materials. \> Once bound, the demon will remain within the object for 1 week, plus one/10 points of margin of success. \> A bound demon may be released at any time to serve you normally. | \> You bind the entity you summon to a ritually prepared objects. \> Preparing an object is part of the summoning ritual and costs 1sp/Pale of the demon in exotic materials. \> Once bound, the demon will remain within the object for 1 week, plus one/10 points of margin of success. \> A bound demon may be released at any time to serve you normally. |
| **8** | Vessel | One hour preparation, then roll, then the entity is imbued in the caster's body | \> As Evoke \> Dark Corruption | \> As Evoke \> Elemental Corruption | \> As Evoke \> No Corruption | \> As Evoke \> Mental Corruption | \> Roll resistance/mental vs 90+10/Pale of summoned entity to avoid loosing control. \> Improved skills, stats, access to spells and such based on entity. \> Duration is 1 hour per level of the caster. \> Roll resistance/mental vs 90+10/lvl of summoned entity to avoid gaining 1 Corruption |
| **9** | Possess | One hour preparation, then roll, then the entity tries to possess target body | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 90 + 10/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 90 + 10/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 90 + 10/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Base: Random Pale, Random Sub-type \> Summoning roll Difficulty: 90 + 10/Pale \> -20 to specify Type (Demon, Elemental, Spirit, Outsider) \> -20 to Summoning toll to specify Pale \> -20 to Summoning toll to specify Sub-type | \> Roll resistance/mental vs 90+10/Pale to avoid being the possessed instead of the intended target. \> Target rolls resistance/mental vs 90+10/Pale to avoid being the possessed. \> Duration is 1 day plus 1 day per 10 fail. |
| **10** |   |  |  |  |  |  |  |
| **11**  | Howto… | Howto… | Howto… |   | Paying the Price | Paying the Price | Paying the Price |
| **12** | Getting to know Demon Names | Getting to know Demon Names | Perform quests and Roleplay\! :D |   | Level | Pale | Price of Service |
| **13** | Befriending Elementals | Befriending Elementals | Perform quests and Roleplay\! :D |   | 1-5 | First | Offering: summoner must give an item of worth (at least 1sp/lvl) to entity |
| **14** | Befriending Spirits | Befriending Spirits | Perform quests and Roleplay\! :D |   | 6-10 | Second | Mark: summoner is marked by the entity and gains 1d10 CPs |
| **15** | Befriending Animals | Befriending Animals | Perform quests and Roleplay\! :D |   | 11-15 | Third | Service: summoner must perform a task for the entity |
| **16** |   |  |  |  | 16-20 | Fourth | Submission: summoner must offer part of himself to the entity, as a sign of submission: either gain 5d10 CPs or have a part of his body Destroyed |
| **17** |   |  |  |  | 21-30 | Fifth | Soul: summoner must offer a soul to the entity |
| **18** |   |  |  |  | 31+ | Sixth | Hecatomb: summoner must offer a hundred souls to the entity |
| **19** | Summoning Rituals | Summoning Rituals | Summoning Rituals |   |  |  |  |
| **20** | Sacrifice | Kill animals/people or burn offers or other things to reduce price and/or difficulty (Elemental and spirits: 1sp/+1 to Summoning Roll. Demons and Outsiders: 1 common soul/+10, 1 infant soul/+20) | Kill animals/people or burn offers or other things to reduce price and/or difficulty (Elemental and spirits: 1sp/+1 to Summoning Roll. Demons and Outsiders: 1 common soul/+10, 1 infant soul/+20) |   |  |  |  |
| **21** |   |  |  |  |  |  |  |
| **22** | Circles | Circles | Circles |   |  |  |  |
| **23** | Confinement | 1h/Pale to affect, Summoning roll to draw a confinement circle to keep out/keep in entities | 1h/Pale to affect, Summoning roll to draw a confinement circle to keep out/keep in entities |   |  |  |  |
| **24** | Weakening | 1h/Pale to affect, Summoning roll to draw a weakening circle to lower Entity Influence/Falsehood/Resistance - Mental when making deals | 1h/Pale to affect, Summoning roll to draw a weakening circle to lower Entity Influence/Falsehood/Resistance - Mental when making deals |  |  |  |  |
